Company,CTO_Name,LinkedIn,Email,Product_Type,Score,Value_Proposition,Notes
Helius,"Liam Vovk (CTO)",https://www.linkedin.com/in/liamvovk,contact@helius.dev,Solana RPC/APIs,10,"Leading Solana RPC & API platform, highly influential",Technical lead driving Helius architecture; works with Mert on infrastructure decisions
QuickNode,"Amer Matar (CTO)",https://www.linkedin.com/in/amer-matar,enterprise@quicknode.com,Multi-chain RPC,9,"Enterprise-grade RPC for 70+ chains, Y Combinator backed",CTO with deep infrastructure expertise; oversees multi-chain node architecture
Alchemy,"Joseph Lau (CTO)",https://www.linkedin.com/in/nicklau,hello@alchemy.com,Web3 Dev Platform,9,"$10B+ valuation, powers major NFT platforms",Stanford CS; built core infrastructure; technical visionary behind Alchemy's platform
Coral/Backpack,"Armani Ferrante (Founder)",https://github.com/armaniferrante,contact@backpack.exchange,Anchor Framework/Wallet,10,"Created Anchor - THE Solana dev framework used by 50%+ projects",Ex-Alameda Research & Solana Labs engineer; built Anchor framework; MUST-HAVE technical guest
Phantom,"Francesco Agosti (CTO & Co-founder)",https://www.linkedin.com/in/fragosti,hello@phantom.app,Crypto Wallet,9,"Leading Solana wallet, unicorn status",Ex-0x Tech Lead; Duke CS; wrote production smart contracts; leads all technical decisions
Moralis,"Filip Martinsson (CTO)",https://www.linkedin.com/in/filipmartinsson,support@moralis.io,Web3 APIs/SDKs,8,"Popular web3 development platform, strong educational content",CTO driving technical architecture; pairs well with Ivan's educational content
Ankr,"Stanley Wu (CTO)",https://www.linkedin.com/in/stanley-w-5714a4163,hello@ankr.com,Multi-chain RPC/Staking,8,"70+ chain support, decentralized node infrastructure",Ex-AWS engineer; CTO leading infrastructure; deep cloud/blockchain expertise
Infura (ConsenSys),"E.G. Galano (Co-founder & Chief Infrastructure Engineer)",https://www.linkedin.com/in/egalano,support@infura.io,Ethereum/Multi-chain RPC,8,"Part of ConsenSys, powers MetaMask",Technical co-founder; Chief Infrastructure Engineer; OG Web3 infrastructure builder
Chainstack,"Eugene Aseev (CTO)",https://www.linkedin.com/in/easeev,sales@chainstack.com,Multi-chain Nodes,7,"Strong Solana support, enterprise-focused",Ex-Acronis VP Engineering; CTO with enterprise infrastructure background
Triton One,"Brian Long (Co-founder)",https://www.linkedin.com/company/triton-one,contact@triton.one,Solana RPC Pool,8,"Core Solana RPC provider, Yellowstone project",Runs validators.app; early Solana validator; deep validator/node technical expertise
Syndica,"Danial Abbasi (CTO)",https://www.linkedin.com/in/danialabbasi,contact@syndica.io,Solana RPC Infrastructure,8,"Backed by Social Capital, Solana-focused cloud",CTO with infrastructure focus; building Solana-native cloud platform
thirdweb,"Jake Loo (CTO)",https://www.linkedin.com/in/jakeloo,support@thirdweb.com,Web3 SDK/Smart Contracts,9,"No-code/low-code Web3 tools, backed by Mark Cuban",CTO driving SDK architecture; smart contract expertise; developer tooling focus
The Graph,"Brandon Ramirez (Research Director)",https://www.linkedin.com/in/bgramirez,info@thegraph.com,Blockchain Indexing,8,"Decentralized indexing protocol, multi-chain",Edge & Node core contributor; deep technical knowledge of indexing infrastructure
Pyth Network (Douro Labs),"Jayant Krishnamurthy (CTO)",https://www.linkedin.com/in/jayant-krishnamurthy,contact@pyth.network,Oracle Network,9,"Largest first-party financial oracle, 450+ publishers",Jump Trading alumni; CTO leading oracle architecture; critical DeFi infrastructure
Jito Labs,"Zano Sherwani (CTO)",https://www.linkedin.com/in/zano-sherwani-77a445111,contact@jito.wtf,MEV Infrastructure,9,"27%+ Solana stake running Jito, leading MEV solution",CTO with deep MEV/validator expertise; critical Solana infrastructure
Magic Eden,"Sidney Zhang (CTO)",https://www.linkedin.com/in/sidneyzhang,hello@magiceden.io,NFT Marketplace,8,"#1 NFT marketplace on Solana, expanded to multi-chain",CTO driving marketplace infrastructure; multi-chain technical architecture
Dialect,"Chris Osborn (CEO & Co-founder)",https://www.linkedin.com/in/cbosborn,hello@dialect.to,On-chain Messaging,7,"Smart messaging protocol for Solana dApps",Physics PhD; Y Combinator alumni; technical founder with deep protocol expertise
