Priority,Name,Company,Role,Category,Score,Priority_Score,LinkedIn_Twitter,Email_Pattern,Value_Proposition,Jan_2026_Timing,Research_Category
1,Kevin Bowers,Jump Crypto / Firedancer,Chief Science Officer,Infrastructure,10,17.0,https://twitter.com/kevbowers,contact@jumpcrypto.com,"Built Firedancer from scratch - 1M TPS validator, 3 years dev, just shipped mainnet Dec 2025","PERFECT - Firedancer mainnet live, Solana processing without fee spikes",infrastructure
2,Shaw,ai16z/Eliza Labs,Founder,AI,10,16.0,https://twitter.com/shawmakesmagic,contact@ai16zelizalabs.{'com'|'io'|'xyz'},"HOTTEST - AI agents narrative, $2.5B valuation in months, Eliza framework",AI agents explosion Jan 2026,consumer
3,Jayant Krishnamurthy,Pyth Network,CTO,Oracle,9,13.0,https://www.linkedin.com/in/jayant-krishnamurthy,contact@pythnetwork.{'com'|'io'|'xyz'},"PhD CMU, Jump Trading pedigree, critical DeFi infrastructure",Cross-chain expansion ongoing,infrastructure
4,Liam Vovk,Helius,CTO,RPC,9,13.0,https://www.linkedin.com/in/liamvovk,contact@helius.{'com'|'io'|'xyz'},"Ex-Amazon SDE, leading Solana RPC infrastructure",ZK compression partnership with Light,infrastructure
5,Zano Sherwani,Jito Labs,CTO,MEV/Staking,10,13.0,https://www.linkedin.com/in/zano-sherwani-77a445111,contact@jitolabs.{'com'|'io'|'xyz'},"27%+ Solana stake, $50M a16z, MEV infrastructure leader",ETF inflows driving MEV revenue,defi
6,Francesco Agosti,Phantom,CTO,Wallet,10,13.0,https://www.linkedin.com/in/fragosti,contact@phantom.{'com'|'io'|'xyz'},"Ex-0x Tech Lead, 15M+ MAU, $3B valuation, survived FTX",Consumer crypto adoption surge,consumer
7,Unruggable Team,Unruggable,Founder (TBD),Hardware,9,13.0,https://x.com/unruggable_io,contact@unruggable.{'com'|'io'|'xyz'},"DARK HORSE - Colosseum Cypherpunk grand prize winner Dec 2025, aerospace-grade aluminum hardware wal...","Launch Jan 2026, contrarian hardware angle",consumer
8,Cindy Leow,Drift,Co-founder,Perps,9,12.5,https://www.linkedin.com/in/cindy-leow,contact@drift.{'com'|'io'|'xyz'},"Female-led success, $25M Series B, super app vision",Prediction markets + meme coin trading launch,defi
9,Armani Ferrante,Coral/Backpack,Founder,Dev Tools,10,12.0,https://github.com/armaniferrante,contact@coralbackpack.{'com'|'io'|'xyz'},"Created Anchor framework, THE Solana dev tool, survived FTX collapse",xNFT ecosystem expansion,infrastructure
10,Richard Wu,Tensor,CTO,NFT,10,12.0,https://www.linkedin.com/in/rwu1997,contact@tensor.{'com'|'io'|'xyz'},"Ex-Two Sigma/Citadel, open-sourced everything, pro-trader NFT exchange",NFT trading infrastructure,consumer
11,Joseph Lau,Alchemy,CTO,Infrastructure,9,11.0,https://www.linkedin.com/in/josephlau,contact@alchemy.{'com'|'io'|'xyz'},"Stanford CS, ex-Pinterest/Google/LinkedIn, $10B+ valuation",Enterprise Web3 growth,infrastructure
12,David Lu,Drift,Co-founder,Perps,8,10.0,https://iq.wiki/wiki/david-lu,contact@drift.{'com'|'io'|'xyz'},"TradFi engineering background, angel investor",Co-founder with Cindy Leow,defi
13,Sidney Zhang,Magic Eden,CTO,NFT,9,10.0,https://tracxn.com/d/companies/magic-eden,contact@magiceden.{'com'|'io'|'xyz'},"Ex-UberEats, $1.6B valuation, multi-chain NFT leader",Multi-chain expansion,consumer
14,FP Lee,Sanctum,Founder,Staking,9,9.0,https://twitter.com/fp_lee_,contact@sanctum.{'com'|'io'|'xyz'},"OG since 2021, infinite-LST architecture, deep expertise",Staking infrastructure momentum,defi
15,Eugene Chen,Ellipsis Labs,Co-founder,DEX,9,9.0,https://www.linkedin.com/in/eugene-chen-a4940880,contact@ellipsislabs.{'com'|'io'|'xyz'},"HFT background, $20M Paradigm, Phoenix orderbook + Atlas blockchain",Orderbook innovation,defi
16,Marius Ciubotariu,Kamino,Co-founder,DeFi,9,9.0,https://www.linkedin.com/company/kaminofinance,contact@kamino.{'com'|'io'|'xyz'},"Built largest Solana lending protocol, Hubble heritage",DeFi yield strategies growth,defi
17,Jules Urbach,Render/OTOY,Founder,DePIN,9,9.0,https://www.linkedin.com/in/julesurbach,contact@renderotoy.{'com'|'io'|'xyz'},"Graphics legend since 2009, GPU compute network",AI compute demand surge,consumer
18,Vidor Gencel,Solflare,Founder/CEO,Wallet,8,9.0,https://www.linkedin.com/in/vidorgencel,contact@solflare.{'com'|'io'|'xyz'},"CS PhD candidate, Blockchain Architect, first Solana wallet",OG Solana wallet,consumer
19,Brian Long,Triton One,Co-founder,RPC,8,8.0,https://www.linkedin.com/company/triton-one,contact@tritonone.{'com'|'io'|'xyz'},"validators.app operator, early Solana validator, deep technical",Post-FTX infrastructure leader,infrastructure
20,Amer Matar,QuickNode,CTO,RPC,8,8.0,https://www.linkedin.com/in/amer-matar,contact@quicknode.{'com'|'io'|'xyz'},"YC backed, 70+ chains, enterprise adoption",Multi-chain expansion,infrastructure
21,Stanley Wu,Ankr,CTO,Infrastructure,8,8.0,https://www.linkedin.com/in/stanley-w-5714a4163,contact@ankr.{'com'|'io'|'xyz'},"Ex-AWS engineer, 70+ chain support, decentralized nodes",Enterprise infrastructure,infrastructure
22,AlphaRay,Raydium,Technical Co-founder,AMM,8,8.0,Pseudonymous,contact@raydium.{'com'|'io'|'xyz'},"Pseudonymous, algorithmic trading background, first AMM on Solana",Serum integration leader,defi
23,Yutaro Mori,Orca,Technical Co-founder,AMM,8,8.0,https://www.linkedin.com/in/yutaromori,contact@orca.{'com'|'io'|'xyz'},"Engineer lead, wrote smart contracts, Whirlpools concentrated liquidity",User-friendly DEX growth,defi
24,Frank Mathis,GenesysGo,CEO,DePIN,8,8.0,https://twitter.com/GenesysGo,contact@genesysgo.{'com'|'io'|'xyz'},"Shadow Drive creator, Solana Mobile partnership, storage infra",Decentralized storage growth,consumer
