Priority,Company,CTO_Name,LinkedIn,Email,Product_Type,Score,Value_Proposition,Notes,Timing_Notes
1,Firedancer (Jump Trading),Kevin Bowers (Chief Scientist),https://www.linkedin.com/in/kevin-bowers,contact@jump.com,Validator Client,10,"Second Solana validator client, 1M+ TPS demonstrated",Chief Scientist with systems engineering background; game-changing scaling work,"🔥 PERFECT TIMING! Just hit Solana mainnet Jan 2025, 1M TPS breakthrough, Kevin Bowers announced at Breakpoint"
2,Solana Labs,Greg Fitzgerald (CTO),https://www.linkedin.com/in/gkfitz,contact@solana.org,Base Layer Protocol,10,"The Solana protocol creators, CTO who co-invented Solana",Co-invented Solana with Anatoly; MUST-HAVE for flagship episodes,"⚡ Firedancer integration boost, ecosystem momentum at ATH"
3,Light Protocol,Jorrit Palfner (Co-founder),https://www.linkedin.com/in/jorritpalfner,contact@lightprotocol.com,ZK Compression,9,Revolutionary scaling via ZK compression on Solana,Technical co-founder; ZK/cryptography expertise; cutting-edge protocol,"🚀 ZK Compression live on mainnet, 1000x cost reduction, revolutionary scaling - HOT topic"
4,Helius,Liam Vovk (CTO),https://www.linkedin.com/in/liamvovk,contact@helius.dev,Solana RPC/APIs,10,"Leading Solana RPC & API platform, highly influential",Technical lead driving Helius architecture; works with Mert on infrastructure decisions,"🤝 Partnership with Light Protocol on ZK compression, leading RPC infrastructure"
5,LayerZero Labs,Ryan Zarick (CTO & Co-founder),https://www.linkedin.com/in/ryanzarick,hello@layerzero.network,Omnichain Protocol,9,"$3B valuation, universal messaging across chains",CTO and inventor of LayerZero protocol; deep technical builder,Solid evergreen choice
6,Phantom,Francesco Agosti (CTO & Co-founder),https://www.linkedin.com/in/fragosti,hello@phantom.app,Crypto Wallet,9,"Leading Solana wallet, unicorn status",Ex-0x Tech Lead; Duke CS; wrote production smart contracts; leads all technical decisions,"📱 Multichain expansion, user growth in DeFi wave"
7,Jito Labs,Zano Sherwani (CTO),https://www.linkedin.com/in/zano-sherwani-77a445111,contact@jito.wtf,MEV Infrastructure,9,"27%+ Solana stake running Jito, leading MEV solution",CTO with deep MEV/validator expertise; critical Solana infrastructure,💰 MEV infrastructure critical as Solana volume grows
8,Coral/Backpack,Armani Ferrante (Founder),https://github.com/armaniferrante,contact@backpack.exchange,Anchor Framework/Wallet,10,Created Anchor - THE Solana dev framework used by 50%+ projects,Ex-Alameda Research & Solana Labs engineer; built Anchor framework; MUST-HAVE technical guest,Solid evergreen choice
9,Alchemy,Joseph Lau (CTO),https://www.linkedin.com/in/nicklau,hello@alchemy.com,Web3 Dev Platform,9,"$10B+ valuation, powers major NFT platforms",Stanford CS; built core infrastructure; technical visionary behind Alchemy's platform,Solid evergreen choice
10,Metaplex,Stephen Hess (CEO),https://www.linkedin.com/in/stephennhess,contact@metaplex.com,NFT Standard/Tools,9,"THE NFT standard on Solana, Core protocol",Ex-Solana Labs product chief; Stanford alum; deep protocol knowledge,Solid evergreen choice
11,QuickNode,Amer Matar (CTO),https://www.linkedin.com/in/amer-matar,enterprise@quicknode.com,Multi-chain RPC,9,"Enterprise-grade RPC for 70+ chains, Y Combinator backed",CTO with deep infrastructure expertise; oversees multi-chain node architecture,Solid evergreen choice
12,CertiK,Kang Li (CTO),https://www.linkedin.com/company/certik,contact@certik.com,Security Audits,9,"Largest blockchain security auditor, thousands of projects audited",Founded by Columbia/Yale professors; formal verification expertise,Solid evergreen choice
13,thirdweb,Jake Loo (CTO),https://www.linkedin.com/in/jakeloo,support@thirdweb.com,Web3 SDK/Smart Contracts,9,"No-code/low-code Web3 tools, backed by Mark Cuban",CTO driving SDK architecture; smart contract expertise; developer tooling focus,Solid evergreen choice
14,Pyth Network (Douro Labs),Jayant Krishnamurthy (CTO),https://www.linkedin.com/in/jayant-krishnamurthy,contact@pyth.network,Oracle Network,9,"Largest first-party financial oracle, 450+ publishers",Jump Trading alumni; CTO leading oracle architecture; critical DeFi infrastructure,Solid evergreen choice
15,Ankr,Stanley Wu (CTO),https://www.linkedin.com/in/stanley-w-5714a4163,hello@ankr.com,Multi-chain RPC/Staking,8,"70+ chain support, decentralized node infrastructure",Ex-AWS engineer; CTO leading infrastructure; deep cloud/blockchain expertise,Solid evergreen choice
16,Wormhole Foundation,"Tony Jin (CTO, Wormhole Labs)",https://www.linkedin.com/in/tonyxjin,contact@wormhole.com,Cross-chain Bridge,8,"Leading cross-chain protocol, multi-billion $ transferred",Ex-Jump Crypto CTO; leads core protocol development; deep cross-chain expertise,Solid evergreen choice
17,Tensor,Richard Wu (CTO),https://www.linkedin.com/in/rwu1997,contact@tensor.trade,NFT Marketplace,8,"Pro-trader focused NFT exchange, fully open-sourced",CTO with technical trading background; Y Combinator co-founder matching,Solid evergreen choice
18,Crossmint,Rodri Fernández (Co-founder),https://crossmint.com,contact@crossmint.com,NFT APIs/Infrastructure,8,"Enterprise NFT APIs, fiat onramps",Engineer by training; Stanford/Harvard dropout; a16z backed,Solid evergreen choice
19,Moralis,Filip Martinsson (CTO),https://www.linkedin.com/in/filipmartinsson,support@moralis.io,Web3 APIs/SDKs,8,"Popular web3 development platform, strong educational content",CTO driving technical architecture; pairs well with Ivan's educational content,Solid evergreen choice
