Priority,Company,CTO_Name,LinkedIn,Email,Product_Type,Score,Value_Proposition,Notes
1,Solana Labs,Greg Fitzgerald (CTO),https://www.linkedin.com/in/gkfitz,contact@solana.org,Base Layer Protocol,10,"The Solana protocol creators, CTO who co-invented Solana",Co-invented Solana with Anatoly; MUST-HAVE for flagship episodes
2,Coral/Backpack,Armani Ferrante (Founder),https://github.com/armaniferrante,contact@backpack.exchange,Anchor Framework/Wallet,10,Created Anchor - THE Solana dev framework used by 50%+ projects,Ex-Alameda Research & Solana Labs engineer; built Anchor framework; MUST-HAVE technical guest
3,Firedancer (Jump Trading),Kevin Bowers (Chief Scientist),https://www.linkedin.com/in/kevin-bowers,contact@jump.com,Validator Client,10,"Second Solana validator client, 1M+ TPS demonstrated",Chief Scientist with systems engineering background; game-changing scaling work
4,Light Protocol,Jorrit Palfner (Co-founder),https://www.linkedin.com/in/jorritpalfner,contact@lightprotocol.com,ZK Compression,9,Revolutionary scaling via ZK compression on Solana,Technical co-founder; ZK/cryptography expertise; cutting-edge protocol
5,LayerZero Labs,Ryan Zarick (CTO & Co-founder),https://www.linkedin.com/in/ryanzarick,hello@layerzero.network,Omnichain Protocol,9,"$3B valuation, universal messaging across chains",CTO and inventor of LayerZero protocol; deep technical builder
6,Helius,Liam Vovk (CTO),https://www.linkedin.com/in/liamvovk,contact@helius.dev,Solana RPC/APIs,10,"Leading Solana RPC & API platform, highly influential",Technical lead driving Helius architecture; works with Mert on infrastructure decisions
7,Alchemy,Joseph Lau (CTO),https://www.linkedin.com/in/nicklau,hello@alchemy.com,Web3 Dev Platform,9,"$10B+ valuation, powers major NFT platforms",Stanford CS; built core infrastructure; technical visionary behind Alchemy's platform
8,Phantom,Francesco Agosti (CTO & Co-founder),https://www.linkedin.com/in/fragosti,hello@phantom.app,Crypto Wallet,9,"Leading Solana wallet, unicorn status",Ex-0x Tech Lead; Duke CS; wrote production smart contracts; leads all technical decisions
9,Metaplex,Stephen Hess (CEO),https://www.linkedin.com/in/stephennhess,contact@metaplex.com,NFT Standard/Tools,9,"THE NFT standard on Solana, Core protocol",Ex-Solana Labs product chief; Stanford alum; deep protocol knowledge
10,QuickNode,Amer Matar (CTO),https://www.linkedin.com/in/amer-matar,enterprise@quicknode.com,Multi-chain RPC,9,"Enterprise-grade RPC for 70+ chains, Y Combinator backed",CTO with deep infrastructure expertise; oversees multi-chain node architecture
11,Ankr,Stanley Wu (CTO),https://www.linkedin.com/in/stanley-w-5714a4163,hello@ankr.com,Multi-chain RPC/Staking,8,"70+ chain support, decentralized node infrastructure",Ex-AWS engineer; CTO leading infrastructure; deep cloud/blockchain expertise
12,thirdweb,Jake Loo (CTO),https://www.linkedin.com/in/jakeloo,support@thirdweb.com,Web3 SDK/Smart Contracts,9,"No-code/low-code Web3 tools, backed by Mark Cuban",CTO driving SDK architecture; smart contract expertise; developer tooling focus
13,Pyth Network (Douro Labs),Jayant Krishnamurthy (CTO),https://www.linkedin.com/in/jayant-krishnamurthy,contact@pyth.network,Oracle Network,9,"Largest first-party financial oracle, 450+ publishers",Jump Trading alumni; CTO leading oracle architecture; critical DeFi infrastructure
14,Jito Labs,Zano Sherwani (CTO),https://www.linkedin.com/in/zano-sherwani-77a445111,contact@jito.wtf,MEV Infrastructure,9,"27%+ Solana stake running Jito, leading MEV solution",CTO with deep MEV/validator expertise; critical Solana infrastructure
