Priority,Name,Company,Role,Category,Score,Priority_Score,LinkedIn_Twitter,Email_Pattern,Value_Proposition,Jan_2026_Timing,Research_Category
1,Shaw,ai16z/Eliza Labs,Founder,AI,10,16.0,https://twitter.com/shawmakesmagic,contact@ai16zelizalabs.{'com'|'io'|'xyz'},"HOTTEST - AI agents narrative, $2.5B valuation in months, Eliza framework",AI agents explosion Jan 2026,consumer
2,Jayant Krishnamurthy,Pyth Network,CTO,Oracle,9,13.0,https://www.linkedin.com/in/jayant-krishnamurthy,contact@pythnetwork.{'com'|'io'|'xyz'},"PhD CMU, Jump Trading pedigree, critical DeFi infrastructure",Cross-chain expansion ongoing,infrastructure
3,Liam Vovk,Helius,CTO,RPC,9,13.0,https://www.linkedin.com/in/liamvovk,contact@helius.{'com'|'io'|'xyz'},"Ex-Amazon SDE, leading Solana RPC infrastructure",ZK compression partnership with Light,infrastructure
4,Zano Sherwani,Jito Labs,CTO,MEV/Staking,10,13.0,https://www.linkedin.com/in/zano-sherwani-77a445111,contact@jitolabs.{'com'|'io'|'xyz'},"27%+ Solana stake, $50M a16z, MEV infrastructure leader",ETF inflows driving MEV revenue,defi
5,Francesco Agosti,Phantom,CTO,Wallet,10,13.0,https://www.linkedin.com/in/fragosti,contact@phantom.{'com'|'io'|'xyz'},"Ex-0x Tech Lead, 15M+ MAU, $3B valuation, survived FTX",Consumer crypto adoption surge,consumer
6,Unruggable Team,Unruggable,Founder (TBD),Hardware,9,13.0,https://x.com/unruggable_io,contact@unruggable.{'com'|'io'|'xyz'},"DARK HORSE - Colosseum Cypherpunk grand prize winner Dec 2025, aerospace-grade aluminum hardware wal...","Launch Jan 2026, contrarian hardware angle",consumer
7,Cindy Leow,Drift,Co-founder,Perps,9,12.5,https://www.linkedin.com/in/cindy-leow,contact@drift.{'com'|'io'|'xyz'},"Female-led success, $25M Series B, super app vision",Prediction markets + meme coin trading launch,defi
8,Armani Ferrante,Coral/Backpack,Founder,Dev Tools,10,12.0,https://github.com/armaniferrante,contact@coralbackpack.{'com'|'io'|'xyz'},"Created Anchor framework, THE Solana dev tool, survived FTX collapse",xNFT ecosystem expansion,infrastructure
9,Richard Wu,Tensor,CTO,NFT,10,12.0,https://www.linkedin.com/in/rwu1997,contact@tensor.{'com'|'io'|'xyz'},"Ex-Two Sigma/Citadel, open-sourced everything, pro-trader NFT exchange",NFT trading infrastructure,consumer
10,Joseph Lau,Alchemy,CTO,Infrastructure,9,11.0,https://www.linkedin.com/in/josephlau,contact@alchemy.{'com'|'io'|'xyz'},"Stanford CS, ex-Pinterest/Google/LinkedIn, $10B+ valuation",Enterprise Web3 growth,infrastructure
